,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
H,47.51,56.3,50.73,60.22,50.41,48.36,32.28,49.72,51.61,60.82,76.24,62.72,46.36,50.21,67.52,60.45,54.12,31.55,38.35,53.92,54.92,64.41,48.28,34.33,25.89,42.54,42.51,50.63,63.2
W,44.65,57.88,46.8,58.07,44.12,45.22,70.71,77.45,52.94,54.17,47.71,54.06,44.55,44.94,47.63,57.57,31.91,56.15,52.92,49.12,55.67,103.12,76.52,110.91,82.52,139.61,136.01,45.18,214.57
max_h,233.0,236.0,244.0,279.0,274.0,220.0,133.0,318.0,215.0,314.0,248.0,291.0,142.0,417.0,302.0,174.0,207.0,210.0,169.0,246.0,236.0,234.0,237.0,159.0,115.0,139.0,153.0,173.0,211.0
min_h,14.0,14.0,14.0,14.0,13.0,13.0,9.0,13.0,16.0,12.0,26.0,17.0,16.0,13.0,21.0,19.0,18.0,6.0,14.0,16.0,17.0,20.0,17.0,12.0,11.0,12.0,12.0,17.0,24.0
max_w,205.0,231.0,252.0,308.0,296.0,208.0,237.0,556.0,198.0,329.0,207.0,234.0,162.0,307.0,294.0,201.0,167.0,223.0,221.0,259.0,258.0,289.0,261.0,311.0,347.0,416.0,540.0,153.0,556.0
min_w,12.0,14.0,11.0,13.0,11.0,10.0,22.0,12.0,14.0,11.0,17.0,15.0,16.0,12.0,13.0,18.0,9.0,14.0,20.0,13.0,17.0,27.0,29.0,37.0,28.0,38.0,34.0,15.0,50.0
s,2121.32,3258.64,2374.16,3496.98,2224.09,2186.84,2282.52,3850.81,2732.23,3294.62,3637.41,3390.64,2065.34,2256.44,3215.98,3480.11,1726.97,1771.53,2029.48,2648.55,3057.4,6641.96,3694.39,3807.54,2136.44,5939.01,5781.79,2287.46,13560.82
h/w,1.06,0.97,1.08,1.04,1.14,1.07,0.46,0.64,0.97,1.12,1.6,1.16,1.04,1.12,1.42,1.05,1.7,0.56,0.72,1.1,0.99,0.62,0.63,0.31,0.31,0.3,0.31,1.12,0.29
w/h,0.94,1.03,0.92,0.96,0.88,0.94,2.19,1.56,1.03,0.89,0.63,0.86,0.96,0.9,0.71,0.95,0.59,1.78,1.38,0.91,1.01,1.6,1.58,3.23,3.19,3.28,3.2,0.89,3.4
Stat h/w,0.2,0.2,0.3,0.2,0.3,0.2,0.1,0.2,0.3,0.4,0.4,0.3,0.2,0.2,0.2,0.3,0.2,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Stat w/h,0.2,0.2,0.2,0.1,0.2,0.2,0.5,0.5,0.2,0.2,0.1,0.2,0.1,0.1,0.1,0.2,0.1,0.4,0.2,0.2,0.1,0.3,0.3,0.8,0.7,0.8,0.7,0.1,0.5
max h,3.1,2.5,4.8,6.6,5.5,5.8,1.2,4.2,5.0,4.0,4.9,3.1,2.1,3.9,3.1,2.5,3.9,2.9,1.1,2.5,2.1,1.3,1.7,0.9,0.8,0.9,0.6,2.1,0.6
max w,1.7,6.7,5.0,3.2,2.8,8.4,3.6,10.5,2.1,1.6,1.1,1.5,1.3,1.7,2.0,1.7,1.8,9.2,2.9,1.9,2.1,2.8,2.6,8.1,5.8,6.5,5.9,1.2,5.4
